neg,neu,pos,compound
0.0,0.988,0.012,0.0258
0.0,0.962,0.038,0.5859
0.0,0.962,0.038,0.5859
0.024,0.876,0.1,0.9652
0.024,0.876,0.1,0.9652
0.0,0.755,0.245,0.9821
0.0,0.755,0.245,0.9821
0.144,0.772,0.085,-0.6808
0.144,0.772,0.085,-0.6808
0.015,0.935,0.049,0.5859
0.015,0.935,0.049,0.5859
0.069,0.789,0.143,0.9349
0.069,0.789,0.143,0.9349
0.0,0.919,0.081,0.9022
0.0,0.919,0.081,0.9022
0.09,0.818,0.092,-0.1027
0.09,0.818,0.092,-0.1027
0.158,0.806,0.035,-0.8885
0.158,0.806,0.035,-0.8885
0.0,0.788,0.212,0.9698
0.0,0.788,0.212,0.9698
0.0,0.865,0.135,0.3612
0.0,0.865,0.135,0.3612
0.11,0.792,0.099,-0.2023
0.11,0.792,0.099,-0.2023
0.039,0.889,0.073,0.9001
0.039,0.889,0.073,0.9001
0.0,0.886,0.114,0.2023
0.0,0.886,0.114,0.2023
0.088,0.823,0.089,0.2732
0.088,0.823,0.089,0.2732
0.099,0.795,0.106,0.2263
0.099,0.795,0.106,0.2263
0.06,0.912,0.027,-0.8271
0.06,0.912,0.027,-0.8271
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.906,0.094,0.4588
0.0,0.906,0.094,0.4588
0.0,0.977,0.023,0.296
0.0,0.977,0.023,0.296
0.035,0.894,0.071,0.872
0.035,0.894,0.071,0.872
0.13,0.806,0.064,-0.9136
0.13,0.806,0.064,-0.9136
0.018,0.873,0.108,0.9698
0.018,0.873,0.108,0.9698
0.019,0.914,0.067,0.8225
0.019,0.914,0.067,0.8225
0.046,0.925,0.029,-0.34
0.046,0.925,0.029,-0.34
0.064,0.79,0.145,0.9643
0.064,0.79,0.145,0.9643
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.077,0.811,0.113,0.9136
0.077,0.811,0.113,0.9136
0.268,0.706,0.026,-0.9948
0.268,0.706,0.026,-0.9948
0.079,0.803,0.118,0.8658
0.079,0.803,0.118,0.8658
0.021,0.909,0.07,0.7964
0.021,0.909,0.07,0.7964
0.0,0.942,0.058,0.8074
0.0,0.942,0.058,0.8074
0.0,0.855,0.145,0.9612
0.0,0.855,0.145,0.9612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.903,0.097,0.743
0.0,0.903,0.097,0.743
0.0,0.872,0.128,0.296
0.0,0.872,0.128,0.296
0.0,0.929,0.071,0.5106
0.0,0.929,0.071,0.5106
0.0,0.919,0.081,0.4404
0.0,0.919,0.081,0.4404
0.0,0.925,0.075,0.4404
0.0,0.925,0.075,0.4404
0.0,0.816,0.184,0.5574
0.0,0.816,0.184,0.5574
0.0,0.82,0.18,0.6705
0.0,0.82,0.18,0.6705
0.01,0.855,0.135,0.9854
0.01,0.855,0.135,0.9854
0.019,0.963,0.017,0.1779
0.019,0.963,0.017,0.1779
0.141,0.781,0.078,-0.6808
0.141,0.781,0.078,-0.6808
0.021,0.814,0.166,0.9744
0.021,0.814,0.166,0.9744
0.0,0.815,0.185,0.3612
0.0,0.815,0.185,0.3612
0.0,0.914,0.086,0.6249
0.0,0.914,0.086,0.6249
0.0,0.808,0.192,0.9633
0.0,0.808,0.192,0.9633
0.054,0.894,0.052,-0.0516
0.054,0.894,0.052,-0.0516
0.065,0.894,0.04,-0.7783
0.065,0.894,0.04,-0.7783
0.018,0.81,0.173,0.9042
0.018,0.81,0.173,0.9042
0.041,0.796,0.163,0.9118
0.041,0.796,0.163,0.9118
0.033,0.816,0.152,0.9468
0.033,0.816,0.152,0.9468
0.044,0.849,0.107,0.836
0.044,0.849,0.107,0.836
0.074,0.926,0.0,-0.6808
0.074,0.926,0.0,-0.6808
0.032,0.955,0.013,-0.4404
0.032,0.955,0.013,-0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.035,0.907,0.058,0.4588
0.035,0.907,0.058,0.4588
0.056,0.923,0.02,-0.8519
0.056,0.923,0.02,-0.8519
0.0,0.885,0.115,0.7506
0.0,0.885,0.115,0.7506
0.092,0.841,0.067,-0.3818
0.092,0.841,0.067,-0.3818
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.125,0.795,0.08,-0.9201
0.125,0.795,0.08,-0.9201
0.127,0.81,0.063,-0.9509
0.127,0.81,0.063,-0.9509
0.089,0.825,0.086,-0.6249
0.089,0.825,0.086,-0.6249
0.062,0.776,0.161,0.8442
0.062,0.776,0.161,0.8442
0.0,0.839,0.161,0.3612
0.0,0.839,0.161,0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.063,0.873,0.064,-0.2263
0.063,0.873,0.064,-0.2263
0.0,0.828,0.172,0.3612
0.0,0.828,0.172,0.3612
0.0,0.851,0.149,0.9231
0.0,0.851,0.149,0.9231
0.119,0.881,0.0,-0.5423
0.119,0.881,0.0,-0.5423
0.028,0.924,0.049,0.7184
0.028,0.924,0.049,0.7184
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.173,0.79,0.036,-0.9914
0.173,0.79,0.036,-0.9914
0.134,0.729,0.136,-0.2023
0.134,0.729,0.136,-0.2023
0.091,0.795,0.115,0.1027
0.091,0.795,0.115,0.1027
0.242,0.698,0.06,-0.9531
0.242,0.698,0.06,-0.9531
0.118,0.834,0.048,-0.9485
0.118,0.834,0.048,-0.9485
0.119,0.803,0.078,-0.9062
0.119,0.803,0.078,-0.9062
0.12,0.738,0.142,0.2023
0.12,0.738,0.142,0.2023
0.0,0.892,0.108,0.3182
0.0,0.892,0.108,0.3182
0.086,0.842,0.073,-0.2023
0.086,0.842,0.073,-0.2023
0.096,0.814,0.089,-0.1531
0.096,0.814,0.089,-0.1531
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.088,0.837,0.074,-0.743
0.088,0.837,0.074,-0.743
0.144,0.832,0.023,-0.9907
0.144,0.832,0.023,-0.9907
0.028,0.876,0.096,0.7579
0.028,0.876,0.096,0.7579
0.053,0.781,0.165,0.8481
0.053,0.781,0.165,0.8481
0.047,0.88,0.073,0.4404
0.047,0.88,0.073,0.4404
0.153,0.79,0.058,-0.9287
0.153,0.79,0.058,-0.9287
0.029,0.895,0.076,0.7351
0.029,0.895,0.076,0.7351
0.0,0.955,0.045,0.6597
